: capital-country
Мәскәү	Русия
фикер	фикердән
сугыш	сугыштан
әдәбият	әдәбияттан
утырыш	утырыштан
гасыр	гасырдан
чират	чираттан
бүлмә	бүлмәдән
караш	караштан
өстәл	өстәлдән
кыш	кыштан
күренеш	күренештән
байлык	байлыктан
җәмгыять	җәмгыятьтән
яшьлек	яшьлектән
капка	капкадан
күпер	күпердән
хыял	хыялдан
җыелыш	җыелыштан
әңгәмә	әңгәмәдән
челтәр	челтәрдән
сарай	сарайдан
җил	җилдән
: gram10-cases_locative
мин	миндә
син	синдә
ул	анда
без	бездә
сез	сездә
алар	аларда
китап	китапта
халык	халыкта
фикер	фикердә
сугыш	сугышта
әдәбият	әдәбиятта
утырыш	утырышта
гасыр	гасырда
чират	чиратта
бүлмә	бүлмәдә
караш	карашта
өстәл	өстәлдә
кыш	кышта
күренеш	күренештә
байлык	байлыкта
җәмгыять	җәмгыятьтә
яшьлек	яшьлектә
капка	капкада
күпер	күпердә
хыял	хыялда
җыелыш	җыелышта
әңгәмә	әңгәмәдә
челтәр	челтәрдә
сарай	сарайда
җил	җилдә
: gram11-profession
көтү	көтүче
нефть	нефтьче
балык	балыкчы
урман	урманчы
укыту	укытучы
язу	язучы
җыр	җырчы
спорт	спортчы
тарих	тарихчы
трактор	тракторчы
гармун	гармунчы
сату	сатучы
саву	савучы
баян	баянчы
хисап	хисапчы
икътисад	икътисадчы
хоккей	хоккейчы
умарта	умартачы
иҗат	иҗатчы
таш	ташчы
курай	курайчы
тылсым	тылсымчы
әдәбият	әдәбиятчы
велосипед	велосипедчы
хокук	хокукчы
: gram12-noun-adj
фән	фәнни
күңел	күңелле
уңыш	уңышлы
тарих	тарихи
икътисад	икътисади
заман	заманча
җавап	җаваплы
һөнәр	һөнәри
файда	файдалы
истәлек	истәлекле
хокук	хокукый
әхлак	әхлакый
күләм	күләмле
куәт	куәтле
мәгънә	мәгънәле
өмет	өметле
дәүләт	дәүләти
тәрбия	тәрбияви
гәүдә	гәүдәле
чама	чамалы
гаскәр	гаскәри
гаилә	гаиләле
дым	дымлы
кайгы	кайгылы
тоз	тозлы
шәхес	шәхси
мәдәният	мәдәни
көч	көчле
тәртип	тәртипле
әдәбият	әдәби
: gram13-negation
бара	бармый
килә	килми
бирә	бирми
куя	куймый
яши	яшәми
ясый	ясамый
күрсәтә	күрсәтми
белә	белми
чыгара	чыгармый
уйлый	уйламый
түли	түләми
утыра	утырмый
сайлый	сайламый
сөйләшә	сөйләшми
бетерә	бетерми
эшли	эшләми
карый	карамый
әйтә	әйтми
тора	тормый
башлый	башламый
җибәрә	җибәрми
: gram14-imperative
барырга	бар
килергә	кил
бирергә	бир
куярга	куй
яшәргә	яшә
ясарга	яса
күрсәтергә	күрсәт
белергә	бел
чыгарырга	чыгар
уйларга	уйла
түләргә	түлә
утырырга	утыр
сайларга	сайла
сөйләшергә	сөйләш
бетерергә	бетер
эшләргә	эшлә
карарга	кара
әйтергә	әйт
торырга	тор
башларга	башла
җибәрергә	җибәр
: gram15-conditional
бар	барса
кил	килсә
бир	бирсә
куй	куйса
яшә	яшәсә
яса	ясаса
күрсәт	күрсәтсә
бел	белсә
чыгар	чыгарса
уйла	уйласа
түлә	түләсә
утыр	утырса
сайла	сайласа
сөйләш	сөйләшсә
бетер	бетерсә
эшлә	эшләсә
кара	караса
әйт	әйтсә
тор	торса
башла	башласа
җибәр	җибәрсә
: gram16-person_1-2
барам	барасың
киләм	киләсең
бирәм	бирәсең
куям	куясың
яшим	яшисең
ясыйм	ясыйсың
күрсәтәм	күрсәтәсең
беләм	беләсең
чыгарам	чыгарасың
уйлыйм	уйлыйсың
түлим	түлисең
утырам	утырасың
сайлыйм	сайлыйсың
сөйләшәм	сөйләшәсең
бетерәм	бетерәсең
эшлим	эшлисең
карыйм	карыйсың
әйтәм	әйтәсең
торам	торасың
башлыйм	башлыйсың
җибәрәм	җибәрәсең
: gram17-person_1-3
барам	бара
киләм	килә
бирәм	бирә
куям	куя
яшим	яши
ясыйм	ясый
күрсәтәм	күрсәтә
беләм	белә
чыгарам	чыгара
уйлыйм	уйлый
түлим	түли
утырам	утыра
сайлыйм	сайлый
сөйләшәм	сөйләшә
бетерәм	бетерә
эшлим	эшли
карыйм	карый
әйтәм	әйтә
торам	тора
башлыйм	башлый
җибәрәм	җибәрә
: gram18-plural_1person
барам	барабыз
киләм	киләбез
бирәм	бирәбез
куям	куябыз
яшим	яшибез
ясыйм	ясыйбыз
күрсәтәм	күрсәтәбез
беләм	беләбез
чыгарам	чыгарабыз
уйлыйм	уйлыйбыз
түлим	түлибез
утырам	утырабыз
сайлыйм	сайлыйбыз
сөйләшәм	сөйләшәбез
бетерәм	бетерәбез
эшлим	эшлибез
карыйм	карыйбыз
әйтәм	әйтәбез
торам	торабыз
башлыйм	башлыйбыз
җибәрәм	җибәрәбез
: gram19-plural_2person
барасың	барасыз
киләсең	киләсез
бирәсең	бирәсез
куясың	куясыз
яшисең	яшисез
ясыйсың	ясыйсыз
күрсәтәсең	күрсәтәсез
беләсең	беләсез
чыгарасың	чыгарасыз
уйлыйсың	уйлыйсыз
түлисең	түлисез
утырасың	утырасыз
сайлыйсың	сайлыйсыз
сөйләшәсең	сөйләшәсез
бетерәсең	бетерәсез
эшлисең	эшлисез
карыйсың	карыйсыз
әйтәсең	әйтәсез
торасың	торасыз
башлыйсың	башлыйсыз
җибәрәсең	җибәрәсез
: gram20-plural_3person
бара	баралар
килә	киләләр
бирә	бирәләр
куя	куялар
яши	яшиләр
ясый	ясыйлар
күрсәтә	күрсәтәләр
белә	беләләр
чыгара	чыгаралар
уйлый	уйлыйлар
түли	түлиләр
утыра	утыралар
сайлый	сайлыйлар
сөйләшә	сөйләшәләр
бетерә	бетерәләр
эшли	эшлиләр
карый	карыйлар
әйтә	әйтәләр
тора	торалар
башлый	башлыйлар
җибәрә	җибәрәләр
: gram21-present-past_def
бара	барды
килә	килде
бирә	бирде
куя	куйды
яши	яшәде
ясый	ясады
күрсәтә	күрсәтте
белә	белде
чыгара	чыгарды
уйлый	уйлады
түли	түләде
утыра	утырды
сайлый	сайлады
сөйләшә	сөйләште
бетерә	бетерде
эшли	эшләде
карый	карады
әйтә	әйтте
тора	торды
башлый	башлады
җибәрә	җибәрде
: gram22-present-past_indef
бара	барган
килә	килгән
бирә	биргән
куя	куйган
яши	яшәгән
ясый	ясаган
күрсәтә	күрсәткән
белә	белгән
чыгара	чыгарган
уйлый	уйлаган
түли	түләгән
утыра	утырган
сайлый	сайлаган
сөйләшә	сөйләшкән
бетерә	бетергән
эшли	эшләгән
карый	караган
әйтә	әйткән
тора	торган
башлый	башлаган
җибәрә	җибәргән
: gram23-present-future_def
бара	барачак
килә	киләчәк
бирә	бирәчәк
куя	куячак
яши	яшәячәк
ясый	ясаячак
күрсәтә	күрсәтәчәк
белә	беләчәк
чыгара	чыгарачак
уйлый	уйлаячак
түли	түләячәк
утыра	утырачак
сайлый	сайлаячак
сөйләшә	сөйләшәчәк
бетерә	бетерәчәк
эшли	эшләячәк
карый	караячак
әйтә	әйтәчәк
тора	торачак
башлый	башлаячак
җибәрә	җибәрәчәк
: gram24-present-future_indef
бара	барыр
килә	килер
бирә	бирер
куя	куяр
яши	яшәр
ясый	ясар
күрсәтә	күрсәтер
белә	белер
чыгара	чыгарыр
уйлый	уйлар
түли	түләр
утыра	утырыр
сайлый	сайлар
сөйләшә	сөйләшер
бетерә	бетерер
эшли	эшләр
карый	карар
әйтә	әйтер
тора	торыр
башлый	башлар
җибәрә	җибәрер
: gram25-verbal_adv_1
бар	барып
кил	килеп
бир	биреп
куй	куеп
яшә	яшәп
яса	ясап
күрсәт	күрсәтеп
бел	белеп
чыгар	чыгарып
уйла	уйлап
түлә	түләп
утыр	утырып
сайла	сайлап
сөйләш	сөйләшеп
бетер	бетереп
эшлә	эшләп
кара	карап
әйт	әйтеп
тор	торып
башла	башлап
җибәр	җибәреп
: gram26-verbal_adv_2
бар	баргач
кил	килгәч
бир	биргәч
куй	куйгач
яшә	яшәгәч
яса	ясагач
күрсәт	күрсәткәч
бел	белгәч
чыгар	чыгаргач
уйла	уйлагач
түлә	түләгәч
утыр	утыргач
сайла	сайлагач
сөйләш	сөйләшкәч
бетер	бетергәч
эшлә	эшләгәч
кара	карагач
әйт	әйткәч
тор	торгач
башла	башлагач
җибәр	җибәргәч
: gram27-passive_voice
кыса	кысыла
куша	кушыла
әйтә	әйтелә
күтәрә	күтәрелә
күмә	күмелә
казый	казыла
ашый	ашала
күрсәтә	күрсәтелә
куя	куела
ясый	ясала
яза	языла
эшли	эшләнә
юа	юыла
чыгара	чыгарыла
түгә	түгелә
ташый	ташыла
тарта	тартыла
суза	сузыла
сала	салына
оныта	онытыла
сибә	сибелә
уздыра	уздырыла
баса	басыла
бирә	бирелә
үткәрә	үткәрелә
